type,M,T,W,TR,F
flowing,,,667,,
flowing,,,667.1,,
flowing,,,666.8,,
flowing,,,667.3,,
flowing,,,667.8,,
flowing,,,668,,
flowing,,,668.3,,
flowing,,,668.5,,
flowing,,,668.5,,
flowing,,,668.8,,
flowing,,,669,,
flowing,,,669.2,,
flowing,,,669,,
flowing,,,668.6,,
flowing,,,668.8,,
flowing,,,669.3,,
flowing,,,669.5,,
flowing,,,669.7,,
flowing,,,669.7,,
flowing,,,670.4,,
flowing,,,670.1,,
