M,T,W,TR,F
442.8,227.7,256.8,272.7,283.4
442.4,226.8,256.6,272.4,283.3
442.9,227.8,256.7,272.4,283.3
444.3,228.2,256.5,272.6,283.4
443.7,228.1,256.4,272.6,283.4
444.1,228,256.4,272.7,283.5
444.3,228,256.5,272.5,283.5
444.9,228,256.7,272.6,283.6
445.8,227.9,256.8,272.4,283.6
445.7,228.1,256.9,272.8,283.6
446.4,228.6,257.1,272.9,283.6
446.1,228.4,256.8,272.8,283.8
447.1,227.9,256.7,272.7,283.8
446.9,228.5,256.6,272.4,283.9
447.2,228.4,256.5,272.7,283.7
447.5,228.7,256.6,272.6,283.8
447.6,228.6,256.5,272.8,283.6
448.1,228.5,256.8,272.8,283.8
422.6,228.5,257,272.5,283.5
423,228.4,256.9,272.8,284.1
424.7,228.8,257,272.9,283.8
425.4,228.6,257.1,272.6,283.8
426.3,228.7,256.9,272.9,284
429.3,228.7,256.7,272.8,283.7
257.7,228.7,256.8,272.9,283.9
258.1,228.9,256.9,272.8,283.8
258.6,229.1,257.1,272.9,283.9
259.2,229,257,273.1,283.7
259.8,228.9,257.2,272.9,283.5
260.3,228.5,257.3,273.1,283.9
260.9,228.7,257.5,273.2,283.8
261.3,228.7,257.2,273.1,284.1
261.6,228.9,257,273,283.9
262.1,229.1,256.9,272.9,283.8
262.7,229.4,256.9,273.2,283.9
263.4,229.3,256.9,273.2,283.9
263.9,229.5,257.5,273.1,283.9
264.4,229.5,257.8,272.8,284
264.7,229.5,257.1,273.1,283.8
265.6,229.4,257.4,273.1,284.1
265.7,229.4,257.4,273.1,284.1
266.4,229.1,257.1,273.1,284.1
267,229.2,257,273,284
267.4,229.3,257.3,272.9,284.1
267.5,229.6,257.4,273,283.9
268.1,230,257.3,273.1,284.1
268,229.2,257.4,273.1,284.2
268.4,230.2,257.6,273.1,284.1
268.7,230.2,257.6,273.1,284.1
269.2,230.4,257.4,272.9,284.3
269.7,229.1,257.4,273.1,284.3
270.2,230.1,257.5,273.1,284.3
270.8,230,257.1,273.3,284.3
271.2,229.7,257.5,273.3,284.3
271.6,229.9,257.5,273.2,284.4
271.9,230,257.6,273.1,284.1
272.4,229.9,257.8,273.1,284.3
272.6,230.2,257.8,273.3,284.4
272.9,230.4,258,273.2,284.1
273.3,230.7,257.7,273.3,284.6
273.9,230.6,257.4,273.3,284.4
274.3,230.4,257.4,273.3,284.4
274.8,230.2,257.6,273.2,284.4
275.1,230.4,257.7,273.3,284.4
275.2,230.6,258,273.3,284.3
275.6,230.6,258.1,273.6,284.6
275.8,230.9,257.9,273.3,284.4
276.3,231,257.9,273.4,284.4
276.9,231.1,257.6,273.3,284.7
276.9,230.8,257.8,273.3,284.4
277.4,230.6,257.5,273.4,284.5
277.8,230.7,257.9,273.6,284.6
278.1,231.4,257.9,273.4,284.6
278.4,231.2,258.1,273.6,284.5
278.7,231.4,258.1,273.6,284.4
279,231.1,258.1,273.5,284.4
279.4,230.4,258.1,273.4,284.5
279.5,231.2,257.7,273.4,284.5
280.1,231,257.9,273.3,284.6
280.3,231.1,257.8,273.7,284.6
280.8,231.1,258.1,273.6,284.3
280.9,231.4,258.2,273.6,284.5
281.3,231.6,258.2,273.4,284.4
281.6,231.2,258.5,273.4,284.6
281.9,231.3,258.4,273.4,284.4
282.2,231.3,258.4,273.6,284.4
282.4,231.4,258.2,273.8,284.4
282.6,231.4,258.1,273.6,284.4
283.2,232,258.2,273.6,284.3
283.3,233.7,258.2,273.5,284.5
283.7,230.6,258.5,273.6,284.6
284.1,231.6,258.4,273.7,284.6
284.3,232.2,258.6,273.8,284.6
284.4,232,258.8,273.9,284.4
284.9,231.9,258.6,273.6,284.6
285,231.1,258.4,273.6,284.7
285.3,231.6,258.5,273.8,284.6
285.8,231.7,258.4,273.8,284.8
286,231.8,258.3,273.8,284.8
286.1,232.3,258.4,273.7,284.8
286.6,232.3,258.4,273.8,284.5
286.8,232.1,258.5,273.7,284.8
286.8,232.3,259,273.7,284.9
287.2,232.2,258.9,273.7,284.9
287.6,232.1,258.9,273.7,285
287.7,232,258.5,273.9,284.8
288.4,232.1,258.4,273.7,284.8
288.1,232.7,258.4,273.9,284.9
288.4,232.6,258.4,273.7,284.9
289.2,233.2,258.6,273.9,284.9
289.4,232.5,258.9,274.1,285
289.3,232.9,258.9,274,284.8
290.2,232.4,258.9,273.9,284.8
290.1,232.4,258.8,273.9,284.8
290.3,232.4,258.5,273.9,284.6
290.7,232.5,258.5,273.8,284.8
290.9,232.6,258.6,273.8,284.6
291.2,232.9,258.6,273.9,284.8
291.4,232.9,258.6,273.8,284.7
291.8,233,258.9,273.8,284.9
292.1,232.9,258.9,274,285.1
292.2,232.7,259,273.9,285
292.6,232.7,259.1,273.9,284.8
292.8,232.8,258.8,274.1,285.1
293,233.1,258.7,273.9,284.9
293.1,233.2,258.6,274,284.8
293.4,233.4,258.7,273.8,285.1
293.8,233.3,258.9,273.9,284.9
293.7,233.1,258.9,274.1,284.8
294,232.9,259.4,274.1,284.8
294.3,232.9,259.1,273.9,284.8
294.4,232.9,258.8,273.9,284.9
294.5,233.1,259.1,273.9,284.9
294.9,233.4,258.9,274.1,284.8
295,233.4,258.9,274.1,284.8
295.3,233.4,259.1,274.1,284.9
295.6,233.6,259.1,274.1,284.9
295.6,233.5,259.4,274.3,285
296.1,233.3,259.4,274.1,285.1
296.2,233.3,259.3,274.3,284.9
296.6,233.4,259.2,274.4,284.9
296.8,233.8,258.9,274.3,284.8
297,233.9,259.1,274.2,285.1
297.3,233.9,259.1,274.1,284.9
297.3,233.7,259.1,274.3,285
297.4,233.8,259.5,274.3,284.9
297.9,233.6,259.6,274.4,285
298.1,233.8,259.6,274.4,285.1
298.5,234,259.6,274.3,285.3
298.6,234,259.6,274.3,285.2
298.8,234.3,259.3,274.3,284.9
299,234.5,259.1,274.3,285.2
299.1,234.2,259.2,274.3,285.2
299.4,234,259.4,274.2,285.1
299.8,234.1,259.6,274.4,285.3
299.9,234.1,259.7,274.4,285.1
300.2,234.1,259.8,274.4,285.2
300.4,234.4,259.6,274.4,285.1
300.5,234.5,259.6,274.5,284.9
300.8,234.7,259.4,274.5,285.1
300.9,234.7,259.3,274.4,285.1
301.1,234.6,259.7,274.5,285.1
301.3,234.2,259.6,274.5,285.1
301.7,234.3,259.8,274.4,285.5
301.9,234.7,259.9,274.4,285
302,234.7,259.8,274.4,285.1
302.2,234.8,259.9,274.6,285.1
302.3,234.9,259.7,274.5,285.1
302.8,235,259.7,274.6,285.3
303,234.9,259.5,274.6,285
303.3,234.6,259.6,274.4,285.2
303.3,234.8,259.9,274.9,285.1
303.3,234.8,259.8,274.6,285.3
303.6,234.9,260,274.7,285
303.7,235.2,259.9,274.7,285.1
303.9,235.2,260.1,274.6,285.3
304.3,235.3,260.1,274.7,285.3
304.3,235.2,259.9,274.6,285.3
304.4,235.1,259.9,274.5,285.1
304.6,235,259.7,274.5,285.1
304.8,235,259.6,274.7,285.1
305.2,235.3,259.7,274.7,285.3
305.4,235.5,260,274.6,285.1
305.5,235.6,259.9,274.6,285.2
305.8,235.7,260.1,274.8,285
305.8,235.7,260.2,274.7,285.2
306.1,235.2,260.3,274.8,285.3
306.4,235.4,260.1,274.8,285.1
306.6,235.1,260,274.9,285.3
306.7,235.2,260,274.9,285.1
306.9,235.8,259.9,274.9,285.4
307.1,235.4,259.9,274.8,285.1
307,236.1,259.9,274.9,285.4
307.4,236.1,260.1,275,285.1
307.4,235.6,260.3,274.9,285.3
307.8,235.8,260.4,274.8,285.4
308.2,235.6,260.2,275,285.5
308.1,235.8,259.6,275.1,285.4
308.4,235.8,260.1,275.1,285.4
308.5,235.8,259.9,274.9,285.5
308.6,236,259.9,275.1,285.5
309,236.1,259.8,274.9,285.5
309,236.1,260.2,275,285.6
309.4,235.9,260.4,275.1,285.6
309.3,235.8,260.8,275,285.8
309.7,235.9,260.5,275,285.7
310,236.1,260.8,275.2,285.6
310.3,235.9,258.9,275.2,285.7
310.2,236.4,259.9,275.1,285.7
310.2,236.4,260.3,275.3,285.6
310.4,236.5,259.9,275.1,285.8
310.8,236.4,260.6,275.1,285.6
310.8,236.1,260.2,275.2,285.6
311.2,236.1,260.6,275.3,285.7
311.2,236.1,261.6,275.1,285.6
311.3,236.2,260.6,275.1,285.8
311.8,236.6,259.6,275.2,285.8
561.3,236.6,261.8,275.4,285.6
563.4,236.8,261,275.1,285.7
565.3,236.7,260.7,275.2,285.5
567.2,237,260.3,275.2,285.8
568.9,236.8,261.1,275.1,285.7
570,236.6,260.8,275.3,285.6
571.1,236.6,261.7,275.3,285.6
572.3,236.6,266.8,275,285.8
573.1,236.4,262.7,275.2,285.8
573.9,236.9,260.6,275.4,285.9
574.9,236.8,265.1,275.4,285.9
575.4,236.9,255.6,275.4,285.9
576.4,237.1,260.5,275.4,285.6
577.5,237.2,264.2,275.4,285.9
578.6,237.2,261.1,275.2,286
579.5,237.1,262.1,275.4,285.6
580.3,237,258.1,275.4,285.8
581.3,237,260.9,275.4,285.9
581.8,237.1,260.7,275.4,285.7
582.2,237,253.7,275.4,285.9
583.4,237.1,260.4,275.5,285.8
583.6,237,261.8,275.5,285.8
584.4,237.2,260.7,275.5,285.9
584.7,237.4,260.9,275.6,285.9
585.2,237.5,261,275.7,285.9
586.1,237.7,261,275.6,285.8
586.9,237.6,260.8,275.6,286
587.6,237.6,261.1,275.6,285.9
587.8,237.4,261,275.8,286
588.1,237.4,261.2,275.5,285.9
588.3,237.2,261.1,275.7,285.9
589.3,237.2,261.1,275.7,286.2
589.8,237.2,261.4,275.6,286
185.6,237.4,261.3,275.8,285.9
185.2,237.6,261.2,275.4,285.8
188.1,237.8,261.3,275.6,286
188,237.9,261.3,275.8,285.9
188.4,237.9,261.3,275.9,286.1
188.9,238.1,261.2,275.7,285.9
189.1,238.1,261.4,275.8,286
190,237.9,261.4,275.9,286.1
190.1,237.7,261.3,275.8,285.8
190.7,237.8,261.4,275.8,286.1
190.7,237.7,261.4,275.8,286
191.7,237.9,261.3,275.7,286.2
192.1,238,261.6,275.8,286.1
192.2,238.1,261.5,275.9,286.1
192.5,238.1,261.5,275.9,286.1
193.2,238.2,261.4,275.8,286.1
192.8,238.3,261.4,276,286.2
193.5,238.5,261.6,275.8,286.2
194.1,238.6,261.4,276,286.4
194.6,238.4,261.7,275.9,286.3
194.6,238.4,261.6,275.8,286.4
195.3,238.4,261.7,275.9,286.2
195.6,238.1,261.8,275.8,286.2
195.5,238.3,261.6,275.9,286.3
195.3,238.5,261.6,276,286.3
195.6,238.5,261.7,276.1,286.2
198.6,238.6,261.8,275.9,286.2
204.6,238.8,261.6,275.9,286.4
195.9,238.8,261.8,275.9,286.3
176.2,238.9,261.7,276,286.4
176.6,238.9,261.8,276.1,286.2
176.7,238.9,261.6,276,286.5
177.2,238.8,261.7,275.9,286.4
177.2,238.6,262,276,286.2
177.6,238.6,261.8,276,286.4
177.8,238.6,261.8,276,286.3
178.4,238.6,261.9,276.1,286.4
178.7,238.7,261.9,276.2,286.3
179.2,238.9,261.9,276.1,286.4
180.4,239.1,262.1,276.2,286.3
180.9,239.2,262,276.1,286.3
181.1,239,261.9,276.1,286.2
181.6,239.4,262,276.2,286.4
181.9,239.4,262.1,276,286.4
182,238.9,262.1,276,286.5
182.6,239.1,262.1,276.3,286.3
182.6,239,262.1,276.1,286.4
182.9,239,262.1,276.2,286.6
183.3,239.2,262.2,276.1,286.4
183.6,239.4,262.1,276.3,286.4
184.1,239.4,262.2,276.3,286.1
184.6,239.6,262.2,276.1,286.5
185,239.5,262.1,276.3,286.4
185.4,239.3,262.2,276.2,286.4
185.9,239.3,262.3,276.3,285.9
186.2,239.3,262.3,276.3,286.3
186.4,239.2,262.2,276.3,286.1
186.6,239.4,262.2,276.4,286.4
186.4,239.8,262.2,276.3,286.4
186.7,239.6,262.2,276.3,286.4
187,239.8,262.3,276.4,286.3
187.3,239.9,262.1,276.2,286.5
187.7,239.9,263,276.4,286.3
188.2,239.8,262.3,276.4,286.4
188.2,239.6,262.7,276.3,286.4
189.2,239.6,262.2,276.5,286.4
189.6,239.5,262.6,276.6,286.6
190.1,239.6,262.2,276.5,286.5
189.3,240.1,262.5,276.4,286.6
190.4,240.2,262.5,276.3,286.4
190.4,240.2,262.4,276.4,286.6
190.6,240.1,262.5,276.4,286.6
190.7,239.9,262.7,276.6,286.5
190.8,239.9,262.8,276.4,286.6
191.1,239.9,262.6,276.6,286.5
191.4,240.1,262.7,276.6,286.5
191.8,240.2,262.9,276.5,286.7
192,240.4,262.7,276.6,286.5
192.4,240.3,262.8,276.6,286.6
192.7,240.3,262.9,276.7,286.8
193.2,240.1,262.5,276.6,286.7
193.6,240.2,262.7,276.4,286.9
193.4,240.1,262.7,276.6,286.6
193.6,240.2,262.7,276.5,286.5
193.6,240.2,262.9,276.6,286.4
193.6,240.4,262.4,276.6,286.6
194,240.7,262.6,276.6,286.6
194.4,240.6,262.6,276.6,286.7
194.4,240.4,262.6,276.6,286.6
194.7,240.2,262.6,276.6,286.9
194.8,240.3,262.8,276.7,286.6
195,240.4,262.7,276.6,286.7
195.8,240.7,262.9,276.8,286.9
196.2,240.7,262.8,276.7,286.7
196.5,241,262.9,276.8,286.6
196.7,241.1,262.9,276.9,287
196.9,240.9,262.7,276.8,286.9
197,240.8,262.8,276.9,286.9
197.2,240.6,262.8,276.7,287.1
197.4,240.6,262.9,276.9,286.8
197.6,240.8,262.8,276.8,287
197.8,241.1,262.9,277.1,286.7
198.1,241.2,262.9,276.9,286.6
198.2,241.2,263,276.9,286.8
198.8,241.2,262.9,276.9,286.8
198.9,241.2,263,277.1,286.9
199,241.2,263,276.8,286.9
199.6,240.8,263.1,276.9,287.2
199.5,240.9,262.9,276.9,286.7
199.9,240.9,262.9,277.1,286.9
199,241.1,263,277,286.9
200.2,241.2,263.1,276.9,286.7
200.2,241.2,263.3,276.9,287.1
200.7,241.4,263.3,276.9,287.2
200.8,241.4,263.4,276.8,287.1
201.1,241.5,263.2,276.9,287.1
201.6,241.2,263.4,277.1,287.1
201.9,241.1,263.2,277.1,287.1
202,241.2,263.4,277.1,287.2
202.4,241.3,263.2,277.3,287
202.4,241.5,263.2,277.3,287.1
202.3,241.8,263.3,277.1,287.1
202.5,241.8,263.3,277,287.1
